,MessageID,MessageType,MessageTimeLeft,MessageTimeReceived,MessageDelay,MessageRoute,MessageTarget
730,97_12,Real,16.046066602941803,16.146066602941804,"[3.4773076041901403, 0.9232217785335692, 0]","[Client id: 97, ( id: 2, corrupt: False ), Client id: 86]","[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
731,92_4,Real,3.149823297659526,16.146066602941804,"[1.373265771434663, 0.25460478574706025, 0]","[Client id: 92, ( id: 2, corrupt: False ), Client id: 49]","[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
732,95_21,Real,15.697061897920783,16.146066602941804,"[0.19731293102424582, 0.40508346806856144, 0]","[Client id: 95, ( id: 2, corrupt: False ), Client id: 26]","[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
733,4_23,Real,15.695943030302848,16.146066602941804,"[0.7947515593756816, 1.0187300127931291, 0]","[Client id: 4, ( id: 2, corrupt: False ), Client id: 76]","[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
734,42_7,Real,5.460836328584541,16.146066602941804,"[0.8787075195257397, 0.3918173756204606, 0]","[Client id: 42, ( id: 2, corrupt: False ), Client id: 45]","[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
735,21_2,Real,2.104494277586055,16.146066602941804,"[0.523009236717379, 0.7471706894096053, 0]","[Client id: 21, ( id: 2, corrupt: False ), Client id: 7]","[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
736,97_5,Real,5.078409681650794,16.146066602941804,"[0.7357733555128615, 1.193215965038308, 0]","[Client id: 97, ( id: 2, corrupt: False ), Client id: 96]","[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
737,28_5,Real,10.356819712538634,16.146066602941804,"[2.0424657604178162, 2.530408264730633, 0]","[Client id: 28, ( id: 2, corrupt: False ), Client id: 66]","[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
738,23_5,Real,5.389395860393362,16.146066602941804,"[0.6501959801307433, 0.9387615145429232, 0]","[Client id: 23, ( id: 2, corrupt: False ), Client id: 16]","[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
739,90_22,Real,13.937587597621988,16.146066602941804,"[0.03775685625562223, 0.9597320284461921, 0]","[Client id: 90, ( id: 2, corrupt: False ), Client id: 26]","[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
740,65_9,Real,7.886992150294664,16.419373416804486,"[0.314735159452567, 0.272916978066241, 0]","[Client id: 65, ( id: 1, corrupt: False ), Client id: 58]","[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
741,11_9,Real,5.3735691452409835,16.419373416804486,"[0.34916796618314394, 1.2618033447173893, 0]","[Client id: 11, ( id: 1, corrupt: False ), Client id: 0]","[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
742,71_5,Real,4.266323831823873,16.419373416804486,"[0.21490590843394422, 0.18158965866658708, 0]","[Client id: 71, ( id: 1, corrupt: False ), Client id: 82]","[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
743,69_1,Real,0.6559892696007704,16.419373416804486,"[0.6559892696007704, 1.8437702908829343, 0]","[Client id: 69, ( id: 1, corrupt: False ), Client id: 29]","[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
