,MessageID,MessageType,MessageTimeLeft,MessageDelay,MessageRoute
1444,57_14,Real,13.610496347048535,"[0.06827541357469566, 0.2782598828980937, 0]","[Client id: 57, ( id: 6, corrupt: False ), Client id: 17]"
1445,77_16,Real,13.616752218405704,"[1.3642614883760098, 0.4847364722290273, 0]","[Client id: 77, ( id: 8, corrupt: False ), Client id: 88]"
1446,34_16,Real,13.625815059276066,"[1.7649267958418693, 0.1864466738226713, 0]","[Client id: 34, ( id: 5, corrupt: False ), Client id: 6]"
1447,4_19,Real,13.63204477276916,"[0.13517199293724047, 0.7024837544268633, 0]","[Client id: 4, ( id: 4, corrupt: False ), Client id: 25]"
1448,15_15,Real,13.637825399145395,"[0.36843416030722587, 0.18645919781619946, 0]","[Client id: 15, ( id: 7, corrupt: False ), Client id: 73]"
1449,21_13,Real,13.641753655248596,"[0.6304983127682062, 0.4294180191699976, 0]","[Client id: 21, ( id: 2, corrupt: False ), Client id: 30]"
1450,32_11,Real,13.643026217098377,"[3.273604369975491, 0.36346269365259826, 0]","[Client id: 32, ( id: 10, corrupt: False ), Client id: 20]"
1451,18_19,Real,13.665664268726783,"[0.11577402006513705, 3.4463623439671984, 0]","[Client id: 18, ( id: 7, corrupt: False ), Client id: 13]"
1452,16_16,Real,13.695285074944685,"[0.4487455039029522, 0.8860005139860636, 0]","[Client id: 16, ( id: 10, corrupt: False ), Client id: 79]"
1453,73_18,Real,13.703565362793029,"[0.2866245968669475, 0.20145975665405422, 0]","[Client id: 73, ( id: 6, corrupt: False ), Client id: 83]"
1454,31_21,Real,13.709422756146393,"[2.340981964361331, 1.97292623322496, 0]","[Client id: 31, ( id: 1, corrupt: False ), Client id: 57]"
1455,44_23,Real,13.721734467374475,"[0.49852184568340696, 1.0257792564329473, 0]","[Client id: 44, ( id: 3, corrupt: False ), Client id: 96]"
1456,71_23,Real,13.744828002553149,"[1.4363104640159812, 0.892824677322718, 0]","[Client id: 71, ( id: 5, corrupt: False ), Client id: 73]"
1457,90_20,Real,13.768318280649932,"[0.998206186571586, 0.25664098333392876, 0]","[Client id: 90, ( id: 7, corrupt: False ), Client id: 48]"
1458,79_15,Real,13.769086796981195,"[0.6135810372444656, 0.28196885958042445, 0]","[Client id: 79, ( id: 5, corrupt: False ), Client id: 39]"
1459,89_13,Real,13.773813778451311,"[0.2337107388593361, 1.5633729344316911, 0]","[Client id: 89, ( id: 9, corrupt: False ), Client id: 13]"
